Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,Quarter,Month,Year
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2019,MAR FY2019,3191,01-03-2019,3,3,2019
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2019,MAR FY2019,418,01-03-2019,3,3,2019
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2019,MAR FY2019,143,01-03-2019,3,3,2019
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2019,MAR FY2019,1796,01-03-2019,3,3,2019
UOPBLRBU,C9200,C9200-48P-E,Q3 FY2019,MAR FY2019,1882,01-03-2019,3,3,2019
UOPBLRBU,C9200,C9200-48T-E,Q3 FY2019,MAR FY2019,624,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-24P-4G-E,Q3 FY2019,MAR FY2019,1924,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-24P-4X-E,Q3 FY2019,MAR FY2019,429,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2019,MAR FY2019,1582,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2019,MAR FY2019,253,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-48P-4G-E,Q3 FY2019,MAR FY2019,1533,01-03-2019,3,3,2019
UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2019,MAR FY2019,2169,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-24P,Q3 FY2019,MAR FY2019,4325,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-24T,Q3 FY2019,MAR FY2019,2586,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-24UX,Q3 FY2019,MAR FY2019,2413,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-48P,Q3 FY2019,MAR FY2019,11952,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-48T,Q3 FY2019,MAR FY2019,2497,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-48UN,Q3 FY2019,MAR FY2019,1451,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2019,MAR FY2019,2169,01-03-2019,3,3,2019
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2019,MAR FY2019,22576,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2019,MAR FY2019,4245,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2019,MAR FY2019,1454,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2019,MAR FY2019,6493,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2019,MAR FY2019,1645,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2019,MAR FY2019,1015,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2019,MAR FY2019,143,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q3 FY2019,MAR FY2019,195,01-03-2019,3,3,2019
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2019,MAR FY2019,428,01-03-2019,3,3,2019
UCEBU,PHON3PC,CP-8841-3PCC-K9,Q3 FY2019,MAR FY2019,4305,01-03-2019,3,3,2019
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2019,MAR FY2019,33,01-03-2019,3,3,2019
UCEBU,PHONVID,CP-8845-K9,Q3 FY2019,MAR FY2019,21265,01-03-2019,3,3,2019
UCEBU,PHONVID,CP-8865-K9,Q3 FY2019,MAR FY2019,9889,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2019,MAR FY2019,79346,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2019,MAR FY2019,69315,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-8811-K9,Q3 FY2019,MAR FY2019,34591,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-8841-K9,Q3 FY2019,MAR FY2019,38990,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-8851-K9,Q3 FY2019,MAR FY2019,49263,01-03-2019,3,3,2019
UCEBU,PHONVOC,CP-8861-K9,Q3 FY2019,MAR FY2019,14257,01-03-2019,3,3,2019
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2019,MAR FY2019,7495,01-03-2019,3,3,2019
RTOBU,C9115AX,C9115AXI-B,Q3 FY2019,MAR FY2019,0,01-03-2019,3,3,2019
RTOBU,C980040,C9800-40-K9,Q3 FY2019,MAR FY2019,439,01-03-2019,3,3,2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2019,APR FY2019,950,01-04-2019,3,4,2019
CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2019,APR FY2019,489,01-04-2019,3,4,2019
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2019,APR FY2019,18,01-04-2019,3,4,2019
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2019,APR FY2019,2,01-04-2019,3,4,2019
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2019,APR FY2019,625,01-04-2019,3,4,2019
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2019,APR FY2019,241,01-04-2019,3,4,2019
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2019,APR FY2019,60,01-04-2019,3,4,2019
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2019,APR FY2019,156,01-04-2019,3,4,2019
CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2019,APR FY2019,11,01-04-2019,3,4,2019
CRBU,NCS5500,NCS-5501-SE,Q3 FY2019,APR FY2019,110,01-04-2019,3,4,2019
CRBU,NCS5500,NCS-5508,Q3 FY2019,APR FY2019,80,01-04-2019,3,4,2019
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2019,APR FY2019,0,01-04-2019,3,4,2019
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2019,APR FY2019,7024,01-04-2019,3,4,2019
CSA,UCSB,UCS-FI-6454,Q3 FY2019,APR FY2019,240,01-04-2019,3,4,2019
CSA,UCSB,UCSB-B200-M5,Q3 FY2019,APR FY2019,11127,01-04-2019,3,4,2019
CSA,UCSC,UCSC-C220-M5SX,Q3 FY2019,APR FY2019,3116,01-04-2019,3,4,2019
CSA,UCSC,UCSC-C240-M5SX,Q3 FY2019,APR FY2019,1793,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I6230,Q3 FY2019,APR FY2019,83,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I6240,Q3 FY2019,APR FY2019,14,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2019,APR FY2019,14,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I8260,Q3 FY2019,APR FY2019,20,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I8268,Q3 FY2019,APR FY2019,30,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2019,APR FY2019,0,01-04-2019,3,4,2019
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2019,APR FY2019,22,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2019,APR FY2019,324,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2019,APR FY2019,1548,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2019,APR FY2019,19558,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-MR-X32G2RT-H,Q3 FY2019,APR FY2019,2704,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2019,APR FY2019,1525,01-04-2019,3,4,2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2019,APR FY2019,7947,01-04-2019,3,4,2019
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2019,APR FY2019,1507,01-04-2019,3,4,2019
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2019,APR FY2019,75,01-04-2019,3,4,2019
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2019,APR FY2019,3270,01-04-2019,3,4,2019
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2019,APR FY2019,683,01-04-2019,3,4,2019
CVEBU,CTSQS,CS-KIT-K9,Q3 FY2019,APR FY2019,3572,01-04-2019,3,4,2019
CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2019,APR FY2019,2341,01-04-2019,3,4,2019
CVEBU,CTSQS,CS-QUADCAM+,Q3 FY2019,APR FY2019,3151,01-04-2019,3,4,2019
CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2019,APR FY2019,1874,01-04-2019,3,4,2019
EBBU,C9500,C9K-F1-SSD-240G,Q3 FY2019,APR FY2019,140,01-04-2019,3,4,2019
EBBU,C9500,C9500-24Y4C,Q3 FY2019,APR FY2019,707,01-04-2019,3,4,2019
EBBU,C9500,C9500-40X,Q3 FY2019,APR FY2019,2255,01-04-2019,3,4,2019
EBBU,C9500,C9500-48Y4C,Q3 FY2019,APR FY2019,1145,01-04-2019,3,4,2019
EBBU,C9600,C9600-SUP-1,Q3 FY2019,APR FY2019,34,01-04-2019,3,4,2019
EBBU,C9600,C9606R,Q3 FY2019,APR FY2019,19,01-04-2019,3,4,2019
ECBU,MDS9000,DS-C9148T-K9,Q3 FY2019,APR FY2019,93,01-04-2019,3,4,2019
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2019,APR FY2019,41,01-04-2019,3,4,2019
ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2019,APR FY2019,4194,01-04-2019,3,4,2019
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2019,APR FY2019,8,01-04-2019,3,4,2019
ERBU,A9K9KFM,A9K-RSP5-SE,Q3 FY2019,APR FY2019,102,01-04-2019,3,4,2019
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2019,APR FY2019,147,01-04-2019,3,4,2019
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2019,APR FY2019,418,01-04-2019,3,4,2019
ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2019,APR FY2019,430,01-04-2019,3,4,2019
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2019,APR FY2019,71,01-04-2019,3,4,2019
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2019,APR FY2019,476,01-04-2019,3,4,2019
ERBU,A9K9000,A9K-9901,Q3 FY2019,APR FY2019,205,01-04-2019,3,4,2019
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2019,APR FY2019,1775,01-04-2019,3,4,2019
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2019,APR FY2019,2669,01-04-2019,3,4,2019
QKBU,N9300,N9K-C9364C,Q3 FY2019,APR FY2019,400,01-04-2019,3,4,2019
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2019,APR FY2019,1298,01-04-2019,3,4,2019
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2019,APR FY2019,814,01-04-2019,3,4,2019
QKBU,N9500,N9K-C9508,Q3 FY2019,APR FY2019,311,01-04-2019,3,4,2019
QKBU,N9500,N9K-C9508-FM-E2,Q3 FY2019,APR FY2019,880,01-04-2019,3,4,2019
QKBU,N9500,N9K-X9736C-FX,Q3 FY2019,APR FY2019,913,01-04-2019,3,4,2019
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2019,APR FY2019,683,01-04-2019,3,4,2019
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2019,APR FY2019,790,01-04-2019,3,4,2019
IOTBU,IE4000,IE-4010-16S12P,Q3 FY2019,APR FY2019,576,01-04-2019,3,4,2019
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2019,APR FY2019,0,01-04-2019,3,4,2019
NGFWBU,FPRLOW,FPR1010-NGFW-K9,Q3 FY2019,APR FY2019,1,01-04-2019,3,4,2019
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2019,APR FY2019,96,01-04-2019,3,4,2019
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2019,APR FY2019,419,01-04-2019,3,4,2019
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2019,APR FY2019,94,01-04-2019,3,4,2019
OTBU,15454W,NCS2015-SA-DC,Q3 FY2019,APR FY2019,30,01-04-2019,3,4,2019
OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2019,APR FY2019,71,01-04-2019,3,4,2019
OTBU,NCS1000,NCS1001-K9,Q3 FY2019,APR FY2019,39,01-04-2019,3,4,2019
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2019,APR FY2019,40,01-04-2019,3,4,2019
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2019,APR FY2019,1687,01-04-2019,3,4,2019
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2019,APR FY2019,48,01-04-2019,3,4,2019
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2019,APR FY2019,4013,01-04-2019,3,4,2019
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2019,APR FY2019,707,01-04-2019,3,4,2019
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2019,APR FY2019,528,01-04-2019,3,4,2019
BATBU,NCS540,N540-ACC-SYS,Q3 FY2019,APR FY2019,441,01-04-2019,3,4,2019
BATBU,NCS540,N540-PWR400-D,Q3 FY2019,APR FY2019,1643,01-04-2019,3,4,2019
BATBU,NCS560,A900-IMA-8Z,Q3 FY2019,APR FY2019,92,01-04-2019,3,4,2019
BATBU,NCS560,N560-4-RSP4,Q3 FY2019,APR FY2019,4,01-04-2019,3,4,2019
BATBU,NCS560,N560-4-SYS,Q3 FY2019,APR FY2019,2,01-04-2019,3,4,2019
BATBU,NCS4200,NCS4202-SA,Q3 FY2019,APR FY2019,205,01-04-2019,3,4,2019
SRSBU,4300ISR,ISR4321/K9,Q3 FY2019,APR FY2019,11507,01-04-2019,3,4,2019
SRSBU,4300ISR,ISR4331/K9,Q3 FY2019,APR FY2019,20312,01-04-2019,3,4,2019
SRSBU,4300ISR,ISR4351/K9,Q3 FY2019,APR FY2019,2692,01-04-2019,3,4,2019
SRSBU,ISR1121,ISR4431/K9,Q3 FY2019,APR FY2019,6203,01-04-2019,3,4,2019
SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2019,APR FY2019,4294,01-04-2019,3,4,2019
SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2019,APR FY2019,462,01-04-2019,3,4,2019
SRSBU,A9K1000,A9K1001-HX,Q3 FY2019,APR FY2019,335,01-04-2019,3,4,2019
SRSBU,A9K1000,A9K1001-X,Q3 FY2019,APR FY2019,2712,01-04-2019,3,4,2019
SRSBU,A9K1000,A9K1002-HX,Q3 FY2019,APR FY2019,372,01-04-2019,3,4,2019
SRSBU,ISR1K,C1111-4P,Q3 FY2019,APR FY2019,7056,01-04-2019,3,4,2019
SRSBU,ISR1K,C1111-8P,Q3 FY2019,APR FY2019,9132,01-04-2019,3,4,2019
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2019,APR FY2019,14850,01-04-2019,3,4,2019
SRSBU,ISR1K,C1116-4P,Q3 FY2019,APR FY2019,1771,01-04-2019,3,4,2019
SRSBU,ISR1K,P-LTEA-EA,Q3 FY2019,APR FY2019,255,01-04-2019,3,4,2019
SRSBU,ISR900,C927-4P,Q3 FY2019,APR FY2019,44,01-04-2019,3,4,2019
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2019,APR FY2019,286,01-04-2019,3,4,2019
SRSBU,WANLAN,NIM-24A,Q3 FY2019,APR FY2019,6360,01-04-2019,3,4,2019
TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2019,APR FY2019,3269,01-04-2019,3,4,2019
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2019,APR FY2019,45184,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2019,APR FY2019,40017,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2019,APR FY2019,380,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2019,APR FY2019,4030,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2019,APR FY2019,757,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2019,APR FY2019,7592,01-04-2019,3,4,2019
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2019,APR FY2019,6559,01-04-2019,3,4,2019
TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2019,APR FY2019,37176,01-04-2019,3,4,2019
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2019,APR FY2019,51873,01-04-2019,3,4,2019
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2019,APR FY2019,4177,01-04-2019,3,4,2019
TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2019,APR FY2019,15747,01-04-2019,3,4,2019
TOASTBU,SFPGE,GLC-TE,Q3 FY2019,APR FY2019,114544,01-04-2019,3,4,2019
UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2019,APR FY2019,3590,01-04-2019,3,4,2019
UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2019,APR FY2019,524,01-04-2019,3,4,2019
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2019,APR FY2019,586,01-04-2019,3,4,2019
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2019,APR FY2019,4855,01-04-2019,3,4,2019
UOPBLRBU,C9200,C9200-48P-E,Q3 FY2019,APR FY2019,4495,01-04-2019,3,4,2019
UOPBLRBU,C9200,C9200-48T-E,Q3 FY2019,APR FY2019,510,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-24P-4G-E,Q3 FY2019,APR FY2019,3316,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-24P-4X-E,Q3 FY2019,APR FY2019,978,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2019,APR FY2019,2906,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2019,APR FY2019,1699,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-48P-4G-E,Q3 FY2019,APR FY2019,3639,01-04-2019,3,4,2019
UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2019,APR FY2019,3918,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-24P,Q3 FY2019,APR FY2019,6530,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-24T,Q3 FY2019,APR FY2019,4443,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-24UX,Q3 FY2019,APR FY2019,2129,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-48P,Q3 FY2019,APR FY2019,25386,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-48T,Q3 FY2019,APR FY2019,4014,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-48UN,Q3 FY2019,APR FY2019,1162,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2019,APR FY2019,3586,01-04-2019,3,4,2019
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2019,APR FY2019,32678,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2019,APR FY2019,6742,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2019,APR FY2019,2516,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2019,APR FY2019,11100,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2019,APR FY2019,2489,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2019,APR FY2019,2052,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2019,APR FY2019,355,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q3 FY2019,APR FY2019,225,01-04-2019,3,4,2019
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2019,APR FY2019,709,01-04-2019,3,4,2019
UCEBU,PHON3PC,CP-8841-3PCC-K9,Q3 FY2019,APR FY2019,15854,01-04-2019,3,4,2019
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2019,APR FY2019,580,01-04-2019,3,4,2019
UCEBU,PHONVID,CP-8845-K9,Q3 FY2019,APR FY2019,41586,01-04-2019,3,4,2019
UCEBU,PHONVID,CP-8865-K9,Q3 FY2019,APR FY2019,10673,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-7821-K9,Q3 FY2019,APR FY2019,100563,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2019,APR FY2019,104737,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-8811-K9,Q3 FY2019,APR FY2019,79228,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-8841-K9,Q3 FY2019,APR FY2019,61956,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-8851-K9,Q3 FY2019,APR FY2019,115759,01-04-2019,3,4,2019
UCEBU,PHONVOC,CP-8861-K9,Q3 FY2019,APR FY2019,16524,01-04-2019,3,4,2019
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2019,APR FY2019,17421,01-04-2019,3,4,2019
RTOBU,C9115AX,C9115AXE-B,Q3 FY2019,APR FY2019,10,01-04-2019,3,4,2019
RTOBU,C9115AX,C9115AXI-B,Q3 FY2019,APR FY2019,697,01-04-2019,3,4,2019
RTOBU,C980040,C9800-40-K9,Q3 FY2019,APR FY2019,132,01-04-2019,3,4,2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2019,MAY FY2019,158,01-05-2019,4,5,2019
CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2019,MAY FY2019,79,01-05-2019,4,5,2019
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2019,MAY FY2019,10,01-05-2019,4,5,2019
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2019,MAY FY2019,6,01-05-2019,4,5,2019
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2019,MAY FY2019,0,01-05-2019,4,5,2019
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2019,MAY FY2019,52,01-05-2019,4,5,2019
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2019,MAY FY2019,38,01-05-2019,4,5,2019
CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2019,MAY FY2019,2,01-05-2019,4,5,2019
CRBU,NCS5500,NCS-5501-SE,Q4 FY2019,MAY FY2019,42,01-05-2019,4,5,2019
CRBU,NCS5500,NCS-5508,Q4 FY2019,MAY FY2019,19,01-05-2019,4,5,2019
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2019,MAY FY2019,2,01-05-2019,4,5,2019
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2019,MAY FY2019,2637,01-05-2019,4,5,2019
CSA,UCSB,UCS-FI-6454,Q4 FY2019,MAY FY2019,329,01-05-2019,4,5,2019
CSA,UCSB,UCSB-B200-M5,Q4 FY2019,MAY FY2019,7512,01-05-2019,4,5,2019
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2019,MAY FY2019,2141,01-05-2019,4,5,2019
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2019,MAY FY2019,1032,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2019,MAY FY2019,66,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2019,MAY FY2019,52,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2019,MAY FY2019,2,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I8260,Q4 FY2019,MAY FY2019,389,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I8268,Q4 FY2019,MAY FY2019,400,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2019,MAY FY2019,0,01-05-2019,4,5,2019
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2019,MAY FY2019,24,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2019,MAY FY2019,144,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2019,MAY FY2019,1439,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2019,MAY FY2019,17183,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-MR-X32G2RT-H,Q4 FY2019,MAY FY2019,2933,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2019,MAY FY2019,5841,01-05-2019,4,5,2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2019,MAY FY2019,4732,01-05-2019,4,5,2019
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2019,MAY FY2019,1374,01-05-2019,4,5,2019
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2019,MAY FY2019,226,01-05-2019,4,5,2019
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2019,MAY FY2019,2573,01-05-2019,4,5,2019
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2019,MAY FY2019,822,01-05-2019,4,5,2019
CVEBU,CTSQS,CS-KIT-K9,Q4 FY2019,MAY FY2019,3147,01-05-2019,4,5,2019
CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2019,MAY FY2019,2627,01-05-2019,4,5,2019
CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2019,MAY FY2019,2122,01-05-2019,4,5,2019
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2019,MAY FY2019,1583,01-05-2019,4,5,2019
EBBU,C9500,C9K-F1-SSD-240G,Q4 FY2019,MAY FY2019,35,01-05-2019,4,5,2019
EBBU,C9500,C9500-24Y4C,Q4 FY2019,MAY FY2019,407,01-05-2019,4,5,2019
EBBU,C9500,C9500-40X,Q4 FY2019,MAY FY2019,902,01-05-2019,4,5,2019
EBBU,C9500,C9500-48Y4C,Q4 FY2019,MAY FY2019,862,01-05-2019,4,5,2019
EBBU,C9600,C9600-SUP-1,Q4 FY2019,MAY FY2019,50,01-05-2019,4,5,2019
EBBU,C9600,C9606R,Q4 FY2019,MAY FY2019,36,01-05-2019,4,5,2019
ECBU,MDS9000,DS-C9148T-K9,Q4 FY2019,MAY FY2019,98,01-05-2019,4,5,2019
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2019,MAY FY2019,14,01-05-2019,4,5,2019
ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2019,MAY FY2019,4838,01-05-2019,4,5,2019
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2019,MAY FY2019,208,01-05-2019,4,5,2019
ERBU,A9K9KFM,A9K-RSP5-SE,Q4 FY2019,MAY FY2019,19,01-05-2019,4,5,2019
